"ID","pyrE","pyrN","Type"
"AFS2021_S69",400395,6468248,"Surface"
"AFS2021_S70",400407,6468248,"Surface"
"AFS2022_S02",400509,6468190,"Surface"
"AFS2022_S10",400112,6468035,"Surface"
"AFS2022_S11",400113,6468044,"Surface"
"B03 4.5m H1",400013,6467982,"Deep core"
"B03 7.5m H1",400013,6467982,"Deep core"
"B13 4.5m H3",400306,6468243,"Deep core"
"B13 6.0m H1",400306,6468243,"Deep core"
"B13 6.0m H2",400306,6468243,"Deep core"
"B13 7.5m H1",400306,6468243,"Deep core"
"AFS2022_S22",400034,6468183,"Surface"
"AFS2022_S31",400004,6467976,"Surface"
"Sample 4 G4",399997,6468027,"Surface"
