"Sample","Kaolinite","Illite","Vermiculite","Smectite","Boehmite","Gibbsite","Jarosite","Quartz","Heulandite","Calcite","Albite"
"S12","S","S","S","-","-","-","-","-","-","-","-"
"S13","S","S","M","-","-","-","-","-","-","-","-"
"S14","S","M","-","-","-","-","-","-","-","-","-"
"S15","S","S","M","M","-","-","-","-","-","-","-"
"S16","S","S","S","-","-","-","-","-","-","-","-"
"S17","S","W","M","-","-","-","-","-","-","-","-"
"S22","S","S","-","-","-","-","-","-","-","-","-"
"S23","S","M","p","-","-","-","-","-","-","-","-"
"S24","S","W","-","-","M","M","M","S","M","-","-"
"S25","W","-","-","-","S","W","-","M","M","M","W"
"S26","S","M","-","p","-","-","-","-","-","-","-"
"S01","M","W","-","-","S","W","-","W","M","W","-"
"S29","S","S","p","-","S","M","-","-","-","-","-"
"S30","W","-","-","-","-","-","-","-","-","-","-"
"S31","S","S","S","-","-","-","-","-","-","-","-"
"S_A","S","M","-","-","-","-","-","-","-","-","-"
"S_B","S","M","-","-","-","-","-","-","-","-","-"
"S_C","S","M","-","p","-","-","-","-","-","-","-"
"S_D","S","M","M","-","W","-","W","-","-","-","-"
"S_E","S","S","S","-","-","-","-","-","-","-","-"
